wrkstat,occ,prestige,wrkslf,occ80,prestg80,marital,agewed,divorce,widowed,spocc,sppres,spwrkslf,age,educ,paeduc,maeduc,speduc,degree,padeg,madeg,spdeg,sex,race,res16,reg16,family16,income,rincome,size,polviews,natarms,natfare,eqwlth,russia,japan,england,china,relig,fund,attend,relig16,fund16,sprel,spfund,sprel16,spfund16,racseg,happy,hapmar,health,life,trust,satcity,sathobby,satfam,satfrnd,sathealt,jobinc,jobsec,jobhour,jobpromo,jobmeans,rank,fepol,fecare,abnomore,abpoor,absingle,chldmore,tvhours,memnum,year
1,142,60,2,0,0,1,24,1,0,551,41,2,57,18,0,6,12,4,0,0,1,2,2,2,6,1,12,12,7895,0,2,3,7,4,3,2,2,1,1,3,1,1,1,1,1,1,0,2,1,0,0,0,2,1,1,2,2,0,0,0,0,0,1,2,1,2,2,2,2,1,6,83
1,912,26,2,0,0,4,21,0,0,0,0,0,40,12,12,12,97,1,1,1,7,1,2,1,6,1,12,99,7895,4,3,2,1,9,0,1,9,1,1,7,1,1,0,0,0,0,0,2,0,0,0,2,1,3,1,3,2,0,0,0,0,0,0,2,0,1,1,1,2,2,3,83
1,650,29,2,0,0,4,35,0,0,0,0,0,64,14,9,97,97,2,0,7,7,1,2,1,0,4,12,10,7895,0,3,1,3,4,3,4,4,1,1,7,1,1,0,0,0,0,0,1,0,0,0,0,2,3,2,3,1,0,0,0,0,0,5,1,1,2,2,2,2,3,2,83
1,75,62,2,0,0,3,28,0,0,0,0,0,50,14,9,9,97,3,0,0,7,2,2,1,0,1,12,11,7895,4,2,3,4,6,5,3,2,1,3,3,1,1,0,0,0,0,0,3,0,0,0,2,4,3,2,5,1,0,0,0,0,0,0,1,0,2,2,2,2,2,7,83
7,0,0,0,0,0,4,17,0,0,0,0,0,25,10,98,98,97,0,0,0,7,2,1,6,2,8,7,0,7,0,2,2,3,9,6,2,2,2,2,4,2,2,0,0,0,0,0,2,0,0,0,0,4,5,3,4,5,0,0,0,0,0,5,1,3,1,2,2,2,5,0,83
7,0,0,0,0,0,5,0,0,0,0,0,0,21,10,97,9,97,0,7,0,7,2,2,1,2,5,98,0,7,5,2,2,4,2,2,1,0,4,3,1,4,3,0,0,0,0,0,3,0,0,0,2,6,5,3,5,3,0,0,0,0,0,0,2,0,1,1,2,2,4,0,83
7,452,31,2,0,0,1,20,2,0,590,47,2,59,11,8,10,16,0,0,0,1,2,1,3,2,1,10,0,7,0,3,3,1,-1,0,1,3,2,2,7,2,2,2,2,1,2,0,2,1,0,0,0,3,2,2,1,4,0,0,0,0,0,5,1,1,2,2,2,2,3,2,83
1,413,39,1,0,0,1,21,1,0,0,0,0,39,9,97,7,12,0,7,0,1,1,1,3,2,5,10,10,7,5,1,3,6,9,4,3,9,1,2,5,1,2,1,2,2,2,0,2,2,0,0,1,4,3,2,2,4,0,0,0,0,0,0,1,0,2,2,2,2,2,2,83
7,926,42,2,0,0,1,21,2,0,554,39,2,58,12,97,12,12,1,7,1,1,2,1,2,2,0,12,0,7,0,1,2,1,9,3,1,3,1,2,2,1,2,1,2,2,2,0,1,1,0,0,0,1,1,1,1,4,0,0,0,0,0,5,1,4,2,2,2,2,4,0,83
1,75,62,2,0,0,4,25,0,0,0,0,0,38,14,12,12,97,1,3,1,7,2,1,5,2,0,9,98,7,4,2,3,3,9,6,1,9,1,2,7,9,9,0,0,0,0,0,2,0,0,0,2,7,2,1,2,6,0,0,0,0,0,0,2,0,2,2,2,2,2,6,83
